sepal_length,sepal_width,petal_length,petal_width,species
6.197371322408986,3.100197140138351,2.2907084814324774,1.1561246319087797,0
5.689388559063052,3.1385792837987903,2.7476922316651518,1.8685996243508667,2
6.318150830480554,2.727990111368604,4.970399128709545,0.5099917675651194,2
7.0184238851264205,3.0929014788644014,4.737629451236891,1.552832560862491,1
5.612677300221331,3.1172289893194725,3.6644672902609483,0.8288196671392914,2
5.612690434440656,2.714259432789453,3.8994565516249295,0.6449890174163591,1
7.063370252405913,3.7463098044579026,5.872030322840322,1.1250787480318094,0
6.413947783322326,3.189533168364715,2.6943286389790893,0.4753303743064381,1
5.424420491252038,2.5234786011189403,4.630065547989065,0.8124454862569725,0
6.2340480348687715,3.262621443453532,3.35627249086238,0.36148547518780605,2
5.42926584575003,2.610127331909071,3.3299419545137257,2.5,1
5.427416197143795,3.3148338414969807,5.567920648378223,1.22468448638021,1
5.993569817252827,3.4634382316029617,5.103207793279651,0.7101921444051901,1
4.2693758042737615,2.6717270726593156,5.082966381201086,1.3497859375139554,2
4.420065733989573,3.385350451697729,5.919313972162359,1.121370365216419,0
5.350169976607222,3.165112370774599,3.7357065307756905,1.045321280326744,1
4.98973510373246,3.328824063997796,4.859320051201439,1.6299166900303976,1
6.051397866076219,3.758717193061579,3.172546513791125,1.7302553970331136,1
5.073580739583031,2.901844753598852,4.2510827992303515,0.8286491966726308,0
4.670157038931767,2.698505534257004,3.4787568075749364,0.7969272315487239,2
6.972519015137243,2.6441942281497908,3.864893140487621,1.007463811993849,2
5.6193789596107715,2.6736758860138248,4.711766943242753,0.1,1
5.8540225637503385,2.969159316234358,2.309024838503097,0.13936625646101342,2
4.660201451029234,3.1364607899266574,7.0,2.1568119872111673,2
5.364493820379853,3.1106763197320078,1.9897704514505068,2.351477399450898,2
5.888738071767893,3.3308732996144097,1.6358793582608557,1.025674772310535,0
4.879205138062158,3.005200756751163,5.668788484950115,1.6035898741390364,1
6.100558414676537,3.5814136308629267,5.045826579736991,1.4178751081804752,1
5.3194890480649555,2.8941372667048175,4.761003688988664,2.5,1
5.566645000165378,4.0880676666358475,4.7681873657492755,1.9837024380042036,2
5.318634710216482,3.2502669391060026,3.6791804861602455,1.1104576859634634,2
7.28182254760715,2.657136977433487,2.174667568474087,0.531121691579702,2
5.789202220209653,2.571643000775555,3.828867748929335,0.1,1
4.953831256835279,3.192988966097274,2.5488250904294105,1.3424245451070562,0
6.458035929682551,2.9106148858696597,5.357703546810177,0.6705544783009877,2
4.8233250800231815,3.2856001976368368,3.4500024514463643,0.20442240328162808,2
5.967090876003804,3.189295049829418,2.2966547654527307,0.7473989810302314,0
4.2322639008961795,2.970868434937251,3.1536440691899115,0.4429163974699235,2
4.737451160881255,2.661282512772638,4.401983472268562,2.3809991445507954,2
5.957488988695299,2.394061110125654,2.741668260233243,1.8171478298646153,1
6.390773263996328,2.8213940191731917,2.3022253275370668,1.1944191510783677,1
5.9370946249519765,3.3425595177293888,4.114268259536251,2.235960897223018,1
5.707481374089407,3.0856374976520815,4.116443170884829,1.2541578153533328,0
5.559117043528569,2.501704488515205,2.83819660186908,0.5971010590702154,1
4.617182407706058,3.0692723703404727,2.8992348804488515,2.26618685408876,2
5.224124633284233,3.1541269518915347,4.094484893507982,1.5772370305792611,0
5.431488983232169,2.6464570255195468,1.2382566194545492,0.47392769197148055,1
6.645697780975133,3.061490042378211,1.3073115835598563,1.0667629253414743,1
6.074894631654769,3.0232834873784,2.4786448238708587,0.58706722263067,1
4.389567875709813,2.5428118808677507,3.3371398420898597,0.23204018832496476,2
6.059267175515836,3.143114944139313,4.228542861516608,1.848324283272149,1
5.491934175666946,3.2243138105472937,6.208105568814238,2.5,1
5.258462399755233,3.433220497270111,5.158021359443433,0.22100269832660113,2
6.289341031072694,3.4215208208139614,3.428104499062174,1.5940784656833995,1
6.624799617996761,2.4489322528171638,3.667672446565429,0.7445502016147212,0
6.545024095292959,2.6248699840339507,1.9957000801157252,0.8590122313647127,1
